X;Result of log2(X)
0.1000000000;-3.3219284904
0.2000000000;-2.3219283548
0.3000000000;-1.7369657496
0.4000000000;-1.3219281858
0.5000000000;-1.0000000000
0.6000000000;-0.7369656417
0.7000000000;-0.5145731975
0.8000000000;-0.3219280575
0.9000000000;-0.1520028833
1.0000000000;-0.0000000000
1.1000000000;0.1375034034
1.2000000000;0.2630344251
1.3000000000;0.3785114133
1.4000000000;0.4854268694
1.5000000000;0.5849624211
1.6000000000;0.6780719824
1.7000000000;0.7655347654
1.8000000000;0.8479970170
1.9000000000;0.9259995012
2.0000000000;1.0000000000
2.1000000000;1.0703894543
2.2000000000;1.1375036094
2.3000000000;1.2016338559
2.4000000000;1.2630345442
2.5000000000;1.3219281858
2.6000000000;1.3785117980
2.7000000000;1.4329595562
2.8000000000;1.4854269259
2.9000000000;1.5360530884
3.0000000000;1.5849626600
3.1000000000;1.6322683240
3.2000000000;1.6780721053
3.3000000000;1.7224661941
3.4000000000;1.7655348659
3.5000000000;1.8073551334
3.6000000000;1.8479970865
3.7000000000;1.8875254021
3.8000000000;1.9259996404
3.9000000000;1.9634743143
4.0000000000;2.0000002528
4.1000000000;2.0356241416
4.2000000000;2.0703895285
4.3000000000;2.1043369228
4.4000000000;2.1375037653
4.5000000000;2.1699252121
4.6000000000;2.2016341336
4.7000000000;2.2326610077
4.8000000000;2.2630346265
4.9000000000;2.2927820308
5.0000000000;2.3219283548
5.1000000000;2.3504974775
5.2000000000;2.3785119134
5.3000000000;2.4059926284
5.4000000000;2.4329596472
5.5000000000;2.4594319171
5.6000000000;2.4854271043
5.7000000000;2.5109621685
5.8000000000;2.5360532066
5.9000000000;2.5607152399
6.0000000000;2.5849628307
6.1000000000;2.6088095568
6.2000000000;2.6322685089
6.3000000000;2.6553521660
6.4000000000;2.6780722266
6.5000000000;2.7004400193
6.6000000000;2.7224663690
6.7000000000;2.7441614242
6.8000000000;2.7655350550
6.9000000000;2.7865967132
7.0000000000;2.8073552577
7.1000000000;2.8278193406
7.2000000000;2.8479972645
7.3000000000;2.8678968063
7.4000000000;2.8875255939
7.5000000000;2.9068909599
7.6000000000;2.9259997675
7.7000000000;2.9448587758
7.8000000000;2.9634744945
7.9000000000;2.9818530086
8.0000000000;3.0000003368
8.1000000000;3.0179222845
8.2000000000;3.0356242712
8.3000000000;3.0531117311
8.4000000000;3.0703897102
8.5000000000;3.0874632087
8.6000000000;3.1043370601
8.7000000000;3.1210157890
8.8000000000;3.1375038971
8.9000000000;3.1538057418
9.0000000000;3.1699253950
9.1000000000;3.1858669244
9.2000000000;3.2016342722
9.3000000000;3.2172311152
9.4000000000;3.2326611415
9.5000000000;3.2479279296
9.6000000000;3.2630348100
9.7000000000;3.2779851375
9.8000000000;3.2927821704
9.9000000000;3.3074289345
10.0000000000;3.3219284904
