X;Result of log10(X)
0.1000000000;-1.0000000000
0.2000000000;-0.6989699994
0.3000000000;-0.5228787298
0.4000000000;-0.3979399887
0.5000000000;-0.3010299598
0.6000000000;-0.2218487375
0.7000000000;-0.1549019490
0.8000000000;-0.0969099902
0.9000000000;-0.0457574219
1.0000000000;-0.0000000000
1.1000000000;0.0413926440
1.2000000000;0.0791812424
1.3000000000;0.1139432755
1.4000000000;0.1461280310
1.5000000000;0.1760912141
1.6000000000;0.2041199816
1.7000000000;0.2304488997
1.8000000000;0.2552725080
1.9000000000;0.2787535927
2.0000000000;0.3010299598
2.1000000000;0.3222192944
2.2000000000;0.3424226658
2.3000000000;0.3617277914
2.4000000000;0.3802112381
2.5000000000;0.3979399887
2.6000000000;0.4149733512
2.7000000000;0.4313637576
2.8000000000;0.4471580078
2.9000000000;0.4623979995
3.0000000000;0.4771212459
3.1000000000;0.4913616680
3.2000000000;0.5051499784
3.3000000000;0.5185139292
3.4000000000;0.5314788898
3.5000000000;0.5440680432
3.6000000000;0.5563024887
3.7000000000;0.5682016960
3.8000000000;0.5797835944
3.9000000000;0.5910645939
4.0000000000;0.6020599958
4.1000000000;0.6127838536
4.2000000000;0.6232492766
4.3000000000;0.6334684593
4.4000000000;0.6434526726
4.5000000000;0.6532124994
4.6000000000;0.6627578348
4.7000000000;0.6720978534
4.8000000000;0.6812412227
4.9000000000;0.6901960826
5.0000000000;0.6989699994
5.1000000000;0.7075701612
5.2000000000;0.7160033457
5.3000000000;0.7242758643
5.4000000000;0.7323937448
5.5000000000;0.7403626912
5.6000000000;0.7481880214
5.7000000000;0.7558748407
5.8000000000;0.7634279949
5.9000000000;0.7708520058
6.0000000000;0.7781512571
6.1000000000;0.7853298361
6.2000000000;0.7923916835
6.3000000000;0.7993405559
6.4000000000;0.8061799748
6.5000000000;0.8129133505
6.6000000000;0.8195439417
6.7000000000;0.8260748033
6.8000000000;0.8325089065
6.9000000000;0.8388490966
7.0000000000;0.8450980404
7.1000000000;0.8512583425
7.2000000000;0.8573325021
7.3000000000;0.8633228604
7.4000000000;0.8692317135
7.5000000000;0.8750612689
7.6000000000;0.8808135924
7.7000000000;0.8864907190
7.8000000000;0.8920946080
7.9000000000;0.8976270914
8.0000000000;0.9030899809
8.1000000000;0.9084850241
8.2000000000;0.9138138524
8.3000000000;0.9190781018
8.4000000000;0.9242792911
8.5000000000;0.9294189257
8.6000000000;0.9344984605
8.7000000000;0.9395192576
8.8000000000;0.9444826721
8.9000000000;0.9493900157
9.0000000000;0.9542425143
9.1000000000;0.9590413923
9.2000000000;0.9637878363
9.3000000000;0.9684829533
9.4000000000;0.9731278535
9.5000000000;0.9777236142
9.6000000000;0.9822712378
9.7000000000;0.9867717342
9.8000000000;0.9912260845
9.9000000000;0.9956351993
10.0000000000;1.0000000000
